Name,Hash,Id,Tag,Tier,Type,Source,Category,Element,Power,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,Recoil,AA,Impact,Range,Zoom,Blast Radius,Velocity,Stability,ROF,Reload,Mag,Handling,Charge Time,Draw Time,Accuracy,Charge Rate,Guard Resistance,Guard Endurance,Swing Speed,Shield Duration,Airborne Effectiveness,Crafted,Crafted Level,Kill Tracker,Foundry,Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perks 13,Perks 14
Adverse Possession IX,1890332078,"""6917530052084158110""",,Legendary,Scout Rifle,legendaryengram,Energy,Arc,1961,Handling,2,Vault,false,false,7,24,,100,61,62,51,20,0,0,44,180,40,16,50,0,0,0,0,0,0,0,0,10,false,0,0,cassoid,,,Precision Frame*,Arrowhead Brake*,Corkscrew Rifling,Accurized Rounds*,Flared Magwell,Elemental Capacitor*,High-Impact Reserves*,Suros Synergy*,Kill Tracker,Tier 2: Handling*,,,,,
Adverse Possession IX,1890332078,"""6917530057594322805""",,Legendary,Scout Rifle,legendaryengram,Energy,Arc,1982,Stability,4,Vault,false,false,7,24,,86,61,62,51,20,0,0,53,180,50,17,28,0,0,0,0,0,0,0,0,10,false,0,0,cassoid,,,Precision Frame*,Extended Barrel*,Smallbore,Tactical Mag*,Steady Rounds,Compulsive Reloader*,Frenzy*,Suros Synergy*,Kill Tracker,Tier 4: Stability*,,,,,
Adverse Possession IX,1890332078,"""6917530059563806814""",,Legendary,Scout Rifle,legendaryengram,Energy,Arc,1989,Stability,2,Vault,false,false,7,24,,100,61,62,41,20,0,0,46,180,40,18,48,0,0,0,0,0,0,0,0,10,false,0,0,cassoid,,,Precision Frame*,Arrowhead Brake*,Chambered Compensator,Appended Mag*,Alloy Magazine,Threat Detector*,Heating Up*,Suros Synergy*,Kill Tracker,Tier 2: Stability*,,,,,
Adverse Possession IX,1890332078,"""6917530059579518631""",,Legendary,Scout Rifle,legendaryengram,Energy,Arc,1990,Range,4,Hunter(1916),false,false,7,24,,86,61,62,45,20,0,0,59,180,50,17,33,0,0,0,0,0,0,0,0,10,false,0,0,cassoid,,,Precision Frame*,Chambered Compensator*,Smallbore,Tactical Mag*,Steady Rounds,Elemental Capacitor*,High-Impact Reserves*,Suros Synergy*,Kill Tracker,Tier 4: Range*,,,,,
Adverse Possession IX,1890332078,"""6917530059699492734""",,Legendary,Scout Rifle,legendaryengram,Energy,Arc,1990,Range,3,Vault,false,false,7,24,,86,61,62,54,20,0,0,54,180,40,16,33,0,0,0,0,0,0,0,0,10,false,0,0,cassoid,,,Precision Frame*,Chambered Compensator*,Full Bore,Accurized Rounds*,Appended Mag,Threat Detector*,Frenzy*,Suros Synergy*,Kill Tracker,Tier 3: Range*,,,,,
Adverse Possession IX,1890332078,"""6917530059798542574""",,Legendary,Scout Rifle,legendaryengram,Energy,Arc,1988,Handling,2,Vault,false,false,7,24,,86,61,62,36,20,0,0,69,180,40,16,35,0,0,0,0,0,0,0,0,17,false,0,0,cassoid,,,Precision Frame*,Chambered Compensator*,Full Bore,Steady Rounds*,Flared Magwell,Overflow*,High-Impact Reserves*,Suros Synergy*,Kill Tracker,Tier 2: Handling*,,,,,
Adverse Possession IX,1890332078,"""6917530059841524728""",,Legendary,Scout Rifle,legendaryengram,Energy,Arc,1990,Stability,1,Vault,false,false,7,24,,86,61,62,36,20,0,0,70,180,60,16,33,0,0,0,0,0,0,0,0,17,false,0,0,cassoid,,,Precision Frame*,Chambered Compensator*,Fluted Barrel,Steady Rounds*,Alloy Magazine,Elemental Capacitor*,Sympathetic Arsenal*,Suros Synergy*,Kill Tracker,Tier 1: Stability*,,,,,
Albruna-D,676270382,"""6917529915320617752""",,Legendary,Sniper Rifle,gambit,Energy,Arc,1900,Stability,2,Vault,false,false,5,19,,100,41,90,71,45,0,0,35,72,41,3,36,0,0,0,0,0,0,0,0,3,false,0,8,hakke,,"Explosive + High is good, so is Explosive Payload + Vorpal Weapon",Aggressive Frame*,Arrowhead Brake*,Chambered Compensator,Tactical Mag*,Steady Rounds,Explosive Payload*,High-Impact Reserves*,Gun and Run*,Hakke Breach Armaments,Kill Tracker,Tier 2: Stability*,,,,
Albruna-D,676270382,"""6917529924955501418""",,Legendary,Sniper Rifle,gambit,Energy,Arc,1900,Stability,1,Vault,false,false,5,19,,75,41,90,71,45,0,0,34,72,11,4,41,0,0,0,0,0,0,0,0,13,false,0,0,hakke,,,Aggressive Frame*,Fluted Barrel*,Polygonal Rifling,Extended Mag*,Alloy Magazine,Explosive Payload*,Frenzy*,Slickdraw,Gun and Run*,Hakke Breach Armaments,Kill Tracker,Tier 1: Stability*,,,
Albruna-D,676270382,"""6917529928692703576""",,Legendary,Sniper Rifle,gambit,Energy,Arc,1900,Reload Speed,1,Hunter(1916),false,true,5,19,,85,41,90,66,45,0,0,53,72,32,3,21,0,0,0,0,0,0,0,0,10,false,0,0,hakke,,,Aggressive Frame*,Chambered Compensator*,Hammer-Forged Rifling,Steady Rounds*,Alloy Magazine,Moving Target*,Clown Cartridge,Perpetual Motion,Opening Shot*,Eye of the Storm,Cascade Point,Gun and Run*,Hakke Breach Armaments,Kill Tracker,Tier 1: Reload Speed*
Albruna-D,676270382,"""6917530057877182432""",,Legendary,Sniper Rifle,gambit,Energy,Arc,1985,Stability,4,Vault,false,false,5,19,,75,41,90,71,45,0,0,37,72,31,4,41,0,0,0,0,0,0,0,0,3,false,0,0,hakke,,,Aggressive Frame*,Fluted Barrel*,Hammer-Forged Rifling,Appended Mag*,Alloy Magazine,Elemental Capacitor*,Wellspring,Cascade Point*,Gun and Run*,Hakke Breach Armaments,Kill Tracker,Tier 4: Stability*,,,
Allied Demand,3166250992,"""6917529914760740494""",,Legendary,Sidearm,ironbanner,KineticSlot,Kinetic,1900,Stability,2,Vault,false,false,6,20,,97,85,49,39,12,0,0,74,300,30,15,53,0,0,0,0,0,0,0,0,23,false,0,39,,,,Adaptive Frame*,Corkscrew Rifling*,Fluted Barrel,Alloy Magazine*,Light Mag,Rapid Hit*,Frenzy*,Skulking Wolf*,Field-Tested,Kill Tracker,Tier 2: Stability*,,,,
Allied Demand,3166250992,"""6917529920656234120""",,Legendary,Sidearm,ironbanner,KineticSlot,Kinetic,1900,Handling,1,Vault,false,false,6,20,,100,85,49,34,12,0,0,77,300,30,15,44,0,0,0,0,0,0,0,0,23,false,0,0,,,,Adaptive Frame*,Chambered Compensator*,Extended Barrel,Alloy Magazine*,Light Mag,Auto-Loading Holster*,Eye of the Storm*,Skulking Wolf*,Field-Tested,Kill Tracker,Tier 1: Handling*,,,,
Ammit AR2,2119346509,"""6917529914836434744""",,Legendary,Auto Rifle,legendaryengram,Energy,Solar,1900,Reload Speed,2,Vault,false,false,5,18,,100,44,29,61,15,0,0,45,450,20,38,56,0,0,0,0,0,0,0,0,30,false,0,0,omolon,,,Precision Frame*,Arrowhead Brake*,Hammer-Forged Rifling,Extended Mag*,Appended Mag,Surplus*,Gutshot Straight*,Omolon Fluid Dynamics*,Kill Tracker,Tier 2: Reload Speed*,,,,,
Ammit AR2,2119346509,"""6917529921909820992""",,Legendary,Auto Rifle,legendaryengram,Energy,Solar,1900,Range,1,Vault,false,false,5,18,,71,44,29,77,15,0,0,35,450,18,38,41,0,0,0,0,0,0,0,0,30,false,0,0,omolon,,,Precision Frame*,Full Bore*,Polygonal Rifling,Extended Mag*,Appended Mag,Turnabout*,Adaptive Munitions*,Omolon Fluid Dynamics*,Kill Tracker,Tier 1: Range*,,,,,
Ammit AR2,2119346509,"""6917529931815242585""",,Legendary,Auto Rifle,legendaryengram,Energy,Solar,1900,Stability,4,Vault,false,false,5,18,,71,44,29,71,15,0,0,49,450,18,38,46,0,0,0,0,0,0,0,0,30,false,0,0,omolon,,,Precision Frame*,Hammer-Forged Rifling*,Polygonal Rifling,Extended Mag*,High-Caliber Rounds,Surplus*,Gutshot Straight*,Omolon Fluid Dynamics*,Kill Tracker,Tier 4: Stability*,,,,,
Ammit AR2,2119346509,"""6917529933894239967""",,Legendary,Auto Rifle,legendaryengram,Energy,Solar,1900,Handling,1,Vault,false,false,5,18,,71,44,29,66,15,0,0,50,450,38,32,52,0,0,0,0,0,0,0,0,20,false,0,0,omolon,,,Precision Frame*,Corkscrew Rifling*,Extended Barrel,Alloy Magazine*,Armor-Piercing Rounds,Turnabout*,Gutshot Straight*,Omolon Fluid Dynamics*,Kill Tracker,Tier 1: Handling*,,,,,
Apostate,2164448701,"""6917529911963829978""",,Legendary,Sniper Rifle,moon,Energy,Arc,1969,Reload Speed,2,Vault,false,false,4,13,,49,73,55,51,40,0,0,46,140,63,5,70,0,0,0,0,0,0,0,0,2,false,0,2,,,,Rapid-Fire Frame*,Corkscrew Rifling*,Smallbore,Accurized Rounds*,Steady Rounds,Firmly Planted*,Explosive Payload*,Kill Tracker,Tier 2: Reload Speed*,,,,,,
Apostate,2164448701,"""6917530057244942660""",,Legendary,Sniper Rifle,moon,Energy,Arc,1970,Range,2,Vault,false,false,4,13,,49,73,55,63,40,0,0,31,140,61,5,60,0,0,0,0,0,0,0,0,2,false,0,0,,,,Rapid-Fire Frame*,Full Bore*,Polygonal Rifling,Accurized Rounds*,Steady Rounds,Killing Wind*,Explosive Payload*,Kill Tracker,Tier 2: Range*,,,,,,
Arbalest,2130065553,"""6917529915632175901""",,Exotic,Linear Fusion Rifle,,KineticSlot,Kinetic,1988,,,Vault,true,false,2,6,,87,31,41,56,25,0,0,55,0,28,5,20,533,0,0,0,0,0,0,0,12,false,0,97,,,,Compounding Force*,Extended Barrel*,Projection Fuse*,Disruption Break*,Composite Stock*,Kill Tracker,Empty Catalyst Socket*,,,,,,,,
Aurvandil FR6,963710795,"""6917529904117552782""",,Legendary,Fusion Rifle,legendaryengram,KineticSlot,Stasis,1900,Reload Speed,5,Vault,true,false,5,19,,67,63,95,52,15,0,0,29,0,23,6,23,960,0,0,0,0,0,0,0,3,false,0,76,omolon,,We like swashbuckler - but probably more with hunters and maybe glaives?,High-Impact Frame*,Corkscrew Rifling*,Smallbore,Enhanced Battery*,Particle Repeater,Firmly Planted*,Swashbuckler*,Omolon Fluid Dynamics*,Kill Tracker,Tier 5: Reload Speed*,,,,,
Aurvandil FR6,963710795,"""6917529923138329808""",,Legendary,Fusion Rifle,legendaryengram,KineticSlot,Stasis,1900,Handling,1,Vault,true,false,5,19,,77,63,90,47,15,0,0,34,0,18,5,14,960,0,0,0,0,0,0,0,3,false,0,29,omolon,,,High-Impact Frame*,Chambered Compensator*,Polygonal Rifling,Accelerated Coils*,Liquid Coils,Firmly Planted*,Demolitionist*,Omolon Fluid Dynamics*,Kill Tracker,Tier 1: Handling*,,,,,
Aurvandil FR6,963710795,"""6917529923147385349""",,Legendary,Fusion Rifle,legendaryengram,KineticSlot,Stasis,1900,"Charge Time, Impact",2,Vault,true,false,5,19,,67,63,94,47,15,0,0,29,0,0,7,33,952,0,0,0,0,0,0,0,3,false,0,0,omolon,,,High-Impact Frame*,Fluted Barrel*,Hammer-Forged Rifling,Ionized Battery*,Liquid Coils,Stats for All*,One for All*,Omolon Fluid Dynamics*,Kill Tracker,Tier 2: Charge Time*,,,,,
Austringer,3055790362,"""6917529931357914617""",,Legendary,Hand Cannon,haunted,KineticSlot,Kinetic,1900,Stability,2,Vault,false,false,5,17,,95,75,84,51,14,0,0,66,140,46,11,52,0,0,0,0,0,0,0,0,13,false,0,0,,,,Adaptive Frame*,Corkscrew Rifling*,Extended Barrel,Alloy Magazine*,Appended Mag,Snapshot Sights*,Zen Moment*,To Excess*,Kill Tracker,Tier 2: Stability*,,,,,
Autumn Wind,3110377595,"""6917529909118885343""",,Legendary,Pulse Rifle,crucible,KineticSlot,Kinetic,1900,Range,1,Vault,false,false,6,20,,73,80,23,33,17,0,0,57,540,14,46,20,0,0,0,0,0,0,0,0,25,false,0,12,,,,Rapid-Fire Frame*,Chambered Compensator*,Full Bore,Extended Mag*,Alloy Magazine,Killing Wind*,Vorpal Weapon*,One Quiet Moment*,Kill Tracker,Tier 1: Range*,,,,,
Autumn Wind,3110377595,"""6917529921252955309""",,Legendary,Pulse Rifle,crucible,KineticSlot,Kinetic,1900,Stability,2,Vault,false,false,6,20,,73,80,23,32,17,0,0,59,540,34,43,20,0,0,0,0,0,0,0,0,15,false,0,0,,,,Rapid-Fire Frame*,Chambered Compensator*,Corkscrew Rifling,Appended Mag*,Ricochet Rounds,Rangefinder*,Vorpal Weapon*,One Quiet Moment*,Kill Tracker,Tier 2: Stability*,,,,,
Battle Scar,2099894368,"""6917529899718103212""",,Legendary,Pulse Rifle,legendaryengram,KineticSlot,Kinetic,1900,Stability,1,Vault,true,false,6,20,,54,67,27,53,17,0,0,35,450,56,31,61,0,0,0,0,0,0,0,0,15,false,0,0,,,,Lightweight Frame*,Full Bore*,Polygonal Rifling,Accurized Rounds*,Alloy Magazine,Perpetual Motion*,Kinetic Tremors*,Field-Tested*,Kill Tracker,Tier 1: Stability*,,,,,
Battle Scar,2099894368,"""6917529915614367136""",keep,Legendary,Pulse Rifle,legendaryengram,KineticSlot,Kinetic,1900,Range,2,Vault,true,false,6,20,,54,67,27,30,17,0,0,49,450,36,40,81,0,0,0,0,0,0,0,0,25,false,0,10,,,Osmosis!,Lightweight Frame*,Fluted Barrel*,Polygonal Rifling,Extended Mag*,Alloy Magazine,Keep Away*,Osmosis*,Field-Tested*,Kill Tracker,Tier 2: Range*,,,,,
Battle Scar,2099894368,"""6917529923166836704""",,Legendary,Pulse Rifle,legendaryengram,KineticSlot,Kinetic,1900,Handling,2,Vault,true,false,6,20,,64,67,27,38,17,0,0,49,450,66,34,58,0,0,0,0,0,0,0,0,15,false,0,0,,,,Lightweight Frame*,Extended Barrel*,Smallbore,Tactical Mag*,Steady Rounds,Shoot to Loot*,Eye of the Storm*,Field-Tested*,Kill Tracker,Tier 2: Handling*,,,,,
Better Devils,4152016199,"""6917530057333995690""",keep,Legendary,Hand Cannon,crucible,KineticSlot,Strand,1974,Stability,3,Vault,true,false,7,24,,88,75,84,55,14,0,0,35,140,20,13,35,0,0,0,0,0,0,0,0,20,false,0,0,nadir,,,Adaptive Frame*,Full Bore*,Hammer-Forged Rifling,Extended Mag*,Steady Rounds,Rangefinder*,Adrenaline Junkie*,One Quiet Moment*,Nadir Focus,Kill Tracker,Tier 3: Stability*,,,,
Better Devils,4152016199,"""6917530057619960893""",,Legendary,Hand Cannon,crucible,KineticSlot,Strand,1982,Range,1,Vault,false,false,7,24,,98,75,84,41,14,0,0,57,140,50,11,35,0,0,0,0,0,0,0,0,10,false,0,0,nadir,,,Adaptive Frame*,Chambered Compensator*,Fluted Barrel,Tactical Mag*,Flared Magwell,Rapid Hit*,Explosive Payload*,One Quiet Moment*,Nadir Focus,Kill Tracker,Tier 1: Range*,,,,
Better Devils,4152016199,"""6917530057744445417""",keep,Legendary,Hand Cannon,crucible,KineticSlot,Strand,1983,Range,1,Vault,true,false,7,24,,98,75,84,51,14,0,0,42,140,40,10,30,0,0,0,0,0,0,0,0,10,false,0,0,nadir,,,Adaptive Frame*,Extended Barrel*,Polygonal Rifling,Alloy Magazine*,Flared Magwell,Slice*,One for All*,One Quiet Moment*,Nadir Focus,Kill Tracker,Tier 1: Range*,,,,
Better Devils,4152016199,"""6917530057840704374""",keep,Legendary,Hand Cannon,crucible,KineticSlot,Strand,1982,Stability,3,Vault,true,false,7,24,,98,75,84,50,14,0,0,45,140,40,12,30,0,0,0,0,0,0,0,0,10,false,0,0,nadir,,,Adaptive Frame*,Extended Barrel*,Hammer-Forged Rifling,Appended Mag*,Alloy Magazine,Perpetual Motion*,Frenzy*,One Quiet Moment*,Nadir Focus,Kill Tracker,Tier 3: Stability*,,,,
Better Devils,4152016199,"""6917530059566233528""",,Legendary,Hand Cannon,crucible,KineticSlot,Strand,1989,Range,1,Vault,false,false,7,24,,98,75,84,36,14,0,0,67,140,40,10,35,0,0,0,0,0,0,0,0,17,false,0,0,nadir,,,Adaptive Frame*,Chambered Compensator*,Hammer-Forged Rifling,Steady Rounds*,Alloy Magazine,Slickdraw*,Hatchling*,One Quiet Moment*,Nadir Focus,Kill Tracker,Tier 1: Range*,,,,
Bite of the Fox,1403800851,"""6917529909085333945""",,Legendary,Sniper Rifle,ironbanner,KineticSlot,Kinetic,1990,Range,5,Titan(2006),true,false,6,20,,98,41,90,85,43,0,0,20,72,25,3,35,0,0,0,0,0,0,0,0,4,false,0,178,,,,Aggressive Frame*,Arrowhead Brake*,Hammer-Forged Rifling,Accurized Rounds*,Appended Mag,Rapid Hit*,Explosive Payload*,Skulking Wolf*,Kill Tracker,Tier 5: Range*,,,,,
Black Talon,3766045777,"""6917529911364281732""",,Exotic,Sword,,Power,Void,1949,,10,Vault,true,false,2,4,,0,0,61,0,0,0,0,0,0,0,62,0,0,0,0,65,70,60,40,0,0,false,0,729,,,,Crow's Wings*,Tempered Edge*,Heavy Guard*,Tireless Blade*,Kill Tracker,Black Talon Catalyst*,,,,,,,,,
Blast Furnace,2372514508,"""6917530050272411906""",,Legendary,Pulse Rifle,brave,KineticSlot,Kinetic,1956,Range,5,Vault,false,false,6,23,,75,42,35,94,18,0,0,74,450,36,39,19,0,0,0,0,0,0,0,0,15,false,0,0,,,,Aggressive Burst*,Chambered Compensator*,Full Bore,Accurized Rounds*,Tactical Mag,Keep Away*,Desperate Measures*,Indomitability*,Kill Tracker,Tier 5: Range*,,,,,
Blast Furnace,2372514508,"""6917530059561032524""",,Legendary,Pulse Rifle,brave,KineticSlot,Kinetic,1989,Handling,1,Vault,false,false,6,23,,75,42,35,89,18,0,0,64,450,36,47,15,0,0,0,0,0,0,0,0,15,false,0,0,,,,Aggressive Burst*,Extended Barrel*,Fluted Barrel,Appended Mag*,Steady Rounds,Keep Away*,One for All*,Indomitability*,Kill Tracker,Tier 1: Handling*,,,,,
Blowout,1903182562,"""6917529928139526318""",,Legendary,Rocket Launcher,crucible,Power,Arc,1900,Velocity,2,Vault,true,false,5,19,,77,58,0,0,20,60,45,44,20,74,1,41,0,0,0,0,0,0,0,0,10,false,0,0,suros,,,Adaptive Frame*,Confined Launch*,Linear Compensator,Alloy Casing*,High-Velocity Rounds,Tracking Module*,Cluster Bomb*,One Quiet Moment*,Suros Synergy,Kill Tracker,Tier 2: Velocity*,,,,
Blowout,1903182562,"""6917529928456658428""",,Legendary,Rocket Launcher,crucible,Power,Arc,1900,Handling,1,Vault,false,false,5,19,,77,58,0,0,20,60,58,34,20,44,1,42,0,0,0,0,0,0,0,0,10,false,0,0,suros,,,Adaptive Frame*,Linear Compensator*,Quick Launch,Black Powder*,Implosion Rounds,Impulse Amplifier*,Explosive Light*,One Quiet Moment*,Suros Synergy,Kill Tracker,Tier 1: Handling*,,,,
Blowout,1903182562,"""6917529928673307162""",,Legendary,Rocket Launcher,crucible,Power,Arc,1900,Handling,2,Vault,false,false,5,19,,77,58,0,0,20,55,58,34,20,74,1,43,0,0,0,0,0,0,0,0,10,false,0,0,suros,,,Adaptive Frame*,Linear Compensator*,Quick Launch,Alloy Casing*,Black Powder,Stats for All*,Cluster Bomb*,One Quiet Moment*,Suros Synergy,Kill Tracker,Tier 2: Handling*,,,,
Blowout,1903182562,"""6917529933531034285""",,Legendary,Rocket Launcher,crucible,Power,Arc,1900,Handling,2,Vault,false,false,5,19,,77,58,0,0,20,65,43,44,20,44,1,43,0,0,0,0,0,0,0,0,10,false,0,0,suros,,,Adaptive Frame*,Confined Launch*,Hard Launch,Black Powder*,Implosion Rounds,Ensemble*,Vorpal Weapon*,One Quiet Moment*,Suros Synergy,Kill Tracker,Tier 2: Handling*,,,,
Bonechiller,4037745684,"""6917529898464974580""",,Legendary,Shotgun,europa,Energy,Void,1900,Stability,3,Vault,false,false,4,12,,90,61,70,56,12,0,0,44,65,22,6,46,0,0,0,0,0,0,0,0,12,false,0,6,,,,Pinpoint Slug Frame*,Arrowhead Brake*,Polygonal Rifling,Extended Mag*,Steady Rounds,Triple Tap*,One for All*,Kill Tracker,Tier 3: Stability*,,,,,,
Borealis,3141979347,"""6917529922285180601""",,Exotic,Sniper Rifle,,Energy,Void,1961,,10,Vault,false,false,1,1,,55,65,90,54,45,0,0,62,72,45,5,75,0,0,0,0,0,0,0,0,22,false,0,0,,,,The Fundamentals*,Corkscrew Rifling*,Extended Mag*,Ionic Return*,Hand-Laid Stock*,Kill Tracker,,,,,,,,,
Borrowed Time,875848769,"""6917529924054543327""",,Legendary,Submachine Gun,gambit,Energy,Solar,1900,Stability,2,Vault,true,false,4,14,,82,38,22,52,15,0,0,10,720,2,29,47,0,0,0,0,0,0,0,0,22,false,0,28,,,,Aggressive Frame*,Full Bore*,Polygonal Rifling,Extended Mag*,Appended Mag,Grave Robber*,Firmly Planted,Threat Detector,Swashbuckler*,Surrounded,Gun and Run*,Field-Tested,Kill Tracker,Tier 2: Stability*,
Borrowed Time,875848769,"""6917529924722806438""",,Legendary,Submachine Gun,gambit,Energy,Solar,1900,Reload Speed,1,Vault,true,false,4,14,,82,38,22,47,15,0,0,18,720,23,26,52,0,0,0,0,0,0,0,0,12,false,0,0,,,"rampage is good, thresh is too.",Aggressive Frame*,Hammer-Forged Rifling*,Polygonal Rifling,Alloy Magazine*,Appended Mag,Surplus*,Thresh*,Rampage,Gun and Run*,Field-Tested,Kill Tracker,Tier 1: Reload Speed*,,,
Borrowed Time,875848769,"""6917529928692702583""",,Legendary,Submachine Gun,gambit,Energy,Solar,1900,Range,1,Vault,true,false,4,14,,92,38,22,38,15,0,0,28,720,22,28,47,0,0,0,0,0,0,0,0,12,false,0,0,,,rangefinder + thresh might be good here,Aggressive Frame*,Chambered Compensator*,Extended Barrel,Appended Mag*,High-Caliber Rounds,Rangefinder*,Fourth Time's the Charm,Overflow,Thresh*,Surrounded,Gun and Run*,Field-Tested,Kill Tracker,Tier 1: Range*,
Borrowed Time,875848769,"""6917529928692705229""",,Legendary,Submachine Gun,gambit,Energy,Solar,1900,Handling,2,Vault,true,false,4,14,,92,38,22,47,15,0,0,18,720,22,28,44,0,0,0,0,0,0,0,0,27,false,0,0,,,,Aggressive Frame*,Extended Barrel*,Fluted Barrel,Appended Mag*,Ricochet Rounds,Overflow*,Thresh*,Frenzy,Swashbuckler,Gun and Run*,Field-Tested,Kill Tracker,Icarus Grip*,Tier 2: Handling*,
